sample_id,4-aminobutyrate/Succinate,Acetyl-CoA,Glutarate
ERR3452799,0.15125288752651492,1.4239046282250603,0.12783795862103692
ERR3452809,0.25159046028087145,0.7481791747137463,0.24383918494253187
ERR3452806,0.2614582367771308,0.4834640879872465,0.26544177862079055
ERR3452805,0.20148400184947157,0.4103791637999119,0.18444939505022995
ERR3452791,0.20373308468303034,0.4113315081005606,0.19439680497046882
ERR3452792,0.2690793547397542,0.48349703432008395,0.22880897511883863
ERR3452802,0.203597555498631,0.8775320782586419,0.16933195383791372
ERR3452811,0.27105724493148226,0.5294788793430232,0.26179113055019193
ERR3452814,0.2708882414101603,0.5535640883042775,0.26355876876949486
ERR3452803,0.2269081361561988,0.3750208659289795,0.2267666722309144
ERR3452812,0.28102656610200316,0.41784923761867343,0.2891279084944376
ERR3452801,0.31536956669652483,0.6211994845783861,0.27461562580446947
ERR3452810,0.2996459508529236,0.534179414887199,0.28900805552838565
ERR3452807,0.3037566304478621,0.5211670238679862,0.27960895399095237
ERR3452804,0.22244716049009683,0.4170355486395431,0.2064933299089
ERR3452800,0.2354838988695043,0.41582693987700337,0.2332494327339198
ERR3452808,0.18862879531404164,0.6179560644496485,0.18258266647833324
ERR3452813,0.27003607646401734,0.4955973667961624,0.26825708501874246
