short_names,name_coop
g__Prevotella,coop_1
g__Sphingomonas,coop_1
g__Fusobacterium,coop_1
g__u(f__Xanthomonadaceae),coop_1
g__Microbacterium,coop_1
g__Pseudomonas,coop_1
g__Acinetobacter,coop_1
g__Micrococcus,coop_1
g__Enhydrobacter,coop_1
g__u(f__Neisseriaceae),coop_1
g__Corynebacterium,coop_1
g__Propionibacterium,coop_1
g__Sutterella,coop_1
g__Anaerococcus,coop_1
g__Methylobacterium,coop_1
g__Cupriavidus,coop_1
g__Staphylococcus,coop_1
g__Kaistobacter,coop_1
g__Oribacterium,coop_1
g__Butyrivibrio,coop_1
g__Porphyromonas,coop_1
g__[Prevotella],coop_1
g__u(f__Gemellaceae),coop_1
g__Anaerostipes,coop_2
g__Clostridium,coop_2
g__u(f__Clostridiaceae),coop_2
g__u(f__Bacillaceae),coop_2
g__Turicibacter,coop_2
g__SMB53,coop_2
g__u(f__Peptostreptococcaceae),coop_2
g__u(f__Christensenellaceae),coop_3
g__u(o__RF39),coop_3
g__u(f__[Paraprevotellaceae]),coop_3
g__u(f__Ruminococcaceae),coop_3
g__Oscillospira,coop_3
g__u(o__Clostridiales),coop_3
g__Faecalibacterium,coop_3
g__Coprococcus,coop_3
g__u(f__Lachnospiraceae),coop_3
g__Roseburia,coop_3
g__Ruminococcus,coop_3
g__Butyricimonas,coop_4
g__Bilophila,coop_4
g__Enterococcus,coop_5
g__u(f__Aerococcaceae),coop_5
g__Lactobacillus,coop_5
g__Klebsiella,coop_5
g__u(f__Pasteurellaceae),coop_5
g__Haemophilus,coop_5
g__Actinobacillus,coop_5
g__Megasphaera,coop_5
g__Streptococcus,coop_5
g__u(f__Planococcaceae),coop_5
g__Granulicatella,coop_5
g__u(f__Veillonellaceae),coop_6
g__Lachnospira,coop_6
g__u(o__RF32),coop_6
g__Desulfovibrio,coop_7
g__Parvimonas,coop_7
g__Catenibacterium,coop_8
g__Pseudoramibacter_Eubacterium,coop_8
g__Serratia,coop_9
g__Erwinia,coop_9
g__u(f__Enterobacteriaceae),coop_9
g__Collinsella,coop_10
g__u(f__Coriobacteriaceae),coop_10
g__u(o__Ellin6067),coop_11
g__Adlercreutzia,coop_11
g__u(f__Rikenellaceae),coop_11
g__Holdemania,coop_11
g__u(f__Oxalobacteraceae),coop_11
g__u(f__[Mogibacteriaceae]),coop_12
g__Alkaliphilus,coop_12
g__Fusibacter,coop_12
