Pathway,Succinate,Succinate,acrylate,propanediol
way,a,b,a,a
sample_id,,,,
ERR3452799,0.15748427989652114,0.18429815009472977,0.020393647756384033,0.131111013199222
ERR3452809,0.14539074396306045,0.16849968632689521,0.030642892225398392,0.11489273538884598
ERR3452806,0.12057874734462463,0.15214065579823666,0.01578095422680602,0.09767338174358095
ERR3452805,0.07505182281354185,0.06902334183588815,0.03462228524780928,0.15143101758546618
ERR3452791,0.06844622897553063,0.08575105315613828,0.02331096590652303,0.14046046293675354
ERR3452792,0.04689794993470265,0.06128924547321168,0.023228055956891758,0.12194729377368173
ERR3452802,0.08137248705059666,0.09441337622632598,0.02428532933235305,0.13293722741381203
ERR3452811,0.1397404926390549,0.1737162453704527,0.01694107780821764,0.09322272650267828
ERR3452814,0.20295838673017869,0.2140659380515995,0.04684817564136663,0.12913472930821868
ERR3452803,0.10722965536558522,0.14252490472404633,0.02489765085005673,0.1370078116379542
ERR3452812,0.21927633408855846,0.27733595456767185,0.022143669205987433,0.0943356314141253
ERR3452801,0.09399359861506745,0.11440564129938434,0.027707068248471377,0.12205138924643086
ERR3452810,0.123371027656386,0.10794964919933774,0.04319413873386199,0.1307247405317377
ERR3452807,0.14090209865260844,0.16228539463970362,0.03325387094571082,0.11894966550996317
ERR3452804,0.0883503799610219,0.0939100481938632,0.031122055868622624,0.14714991464096328
ERR3452800,0.0932709412724636,0.11921958026634838,0.025444082124559234,0.12995943362770623
ERR3452808,0.1182122430981615,0.11060246025321813,0.03883074122933436,0.24700521165881278
ERR3452813,0.13349848303916967,0.14624792173030637,0.029427483490588765,0.15336388751140595
