metabolite,B1,B1,B12,B2,B3,B5,B6,B6,B7,B9,K
way,a,b,a,a,a,a,a,b,a,a,a
sample_id,,,,,,,,,,,
ERR3452799,0.5384174781114476,0.46099714866591557,0.6969717950816061,0.5897792576460443,0.2071465887847526,0.7894985302726076,0.17491958986108402,0.024484965979115394,0.2354081562002354,1.151863438092061,0.5373474410378101
ERR3452809,0.5783030937006037,0.47188605190601685,0.9670983716526445,0.9097968876094052,0.26462998888742395,0.8421362225065162,0.12438261454139252,0.06367636469533142,0.23043744720801962,1.3320602889849307,0.34054902210779636
ERR3452806,0.5713318282695111,0.44653971935947706,0.9203513790332405,1.0320437638035471,0.31393373990995666,0.7964019424362881,0.13229955315385436,0.08196903409069146,0.20974879938347027,1.310585266564065,0.39881382380947633
ERR3452805,0.5805593102975305,0.43371878740147035,1.1535415389992942,0.8217538565686108,0.3410792861393608,0.9071481192245493,0.05193342787171393,0.08627917729486019,0.2609392041520195,1.4119919207293468,0.14899750232843162
ERR3452791,0.6014467070881986,0.437556344745399,1.0272286353808133,0.897174853652329,0.33592766940293006,0.9173935485712518,0.060358751007961405,0.08783238939779212,0.2636161016928994,1.354176825569751,0.16454449659017656
ERR3452792,0.5867608917806135,0.42466945782056453,1.1663261357919725,0.9100600836588733,0.3356075367467214,0.9370753226522148,0.04506747813375195,0.09922419555498327,0.24698745369379743,1.289283345042041,0.1001709913140957
ERR3452802,0.5433260255561507,0.42016946502413566,0.9382786691639526,0.6486511661948215,0.3144451134923302,0.7723400079176826,0.10173224260045975,0.061278872096156595,0.23486907546083907,1.1388821429640745,0.2618158107474226
ERR3452811,0.5295724764579857,0.4320442826670311,0.6951457728266984,1.0685982615271867,0.31008724187085657,0.7046926785528763,0.13674538496025399,0.12710488211911355,0.17184430307120213,1.4345629810306728,0.5328483754816742
ERR3452814,0.6054748893778562,0.4805716081920835,0.9285006165824408,0.9374924438426386,0.34312510578620303,0.7928675919433228,0.11795161641318277,0.10215924752762531,0.2624253451652683,1.4922655173247574,0.5129119616993496
ERR3452803,0.5212238327104205,0.38471114481096175,0.8803300070449034,0.6410437774263186,0.33640121432633463,0.8760153573237288,0.06295144675156387,0.13219803817828416,0.22429105353843715,1.3697951885289732,0.19302752605058188
ERR3452812,0.6021997845042923,0.47914939505476056,0.7797091978140778,1.1019625952020249,0.3522283642399545,0.7392024858519057,0.16157677327133108,0.11224859959295255,0.24664086839189253,1.542315561688572,0.6445968096913659
ERR3452801,0.5673285265661684,0.4257068283543615,0.9872835078411003,0.8806639034419192,0.31284436553970213,0.8773671130427341,0.07884239167413121,0.1140549189164923,0.22656665934825962,1.255586130753513,0.2269875262077301
ERR3452810,0.57958680701073,0.44586346511234404,0.974688234701957,0.8554581327423709,0.2905787514823443,0.8398939637440537,0.09702617279226189,0.08724502071533777,0.21568511258677203,1.3927789395374872,0.3086417549528684
ERR3452807,0.5897887037657367,0.4466913617988637,0.9893229869618808,0.9324092714068746,0.3053014312986409,0.8819186751787904,0.10634734277992605,0.0719551975231151,0.275299772670359,1.3795071597454172,0.37563052266304153
ERR3452804,0.610354882083667,0.44652596274417966,1.0612318895318094,0.8538320919762505,0.3421613210255171,0.9394630689972956,0.07209439349760541,0.09427263525252678,0.26958347811636024,1.3558943058723996,0.1585109758124216
ERR3452800,0.5841326955734505,0.4384599194438919,1.0394592303633674,0.8359786529196542,0.31686171393643736,0.9061120577559041,0.08750457705160031,0.08253108791110574,0.2370696490302417,1.3477434775212707,0.18884842823327247
ERR3452808,0.550718942052546,0.4280763459282189,1.138548605924268,0.6255658472945919,0.3055901152048152,0.8207098676471126,0.08131000848021691,0.11101943465568079,0.26331933515516404,1.2225168262201844,0.33019160495011163
ERR3452813,0.6067843321258428,0.4546064389112868,0.9298936533738943,0.929671279443235,0.29323708989614394,0.8807490146981756,0.10955622317151181,0.0766448814339264,0.2677382125138706,1.377013503286316,0.3624695069747583
